at 10s, row rate 327980.60/sec (period), row rate 327980.60/sec (overall), 3.280000E+06 total rows
at 20s, row rate 294991.80/sec (period), row rate 311486.46/sec (overall), 6.230000E+06 total rows
at 30s, row rate 290020.67/sec (period), row rate 304331.74/sec (overall), 9.130000E+06 total rows
at 40s, row rate 305991.31/sec (period), row rate 304746.64/sec (overall), 1.219000E+07 total rows
at 50s, row rate 280985.22/sec (period), row rate 299994.20/sec (overall), 1.500000E+07 total rows
at 1m0s, row rate 121011.27/sec (period), row rate 270166.51/sec (overall), 1.621000E+07 total rows
at 1m10s, row rate 120998.55/sec (period), row rate 248856.59/sec (overall), 1.742000E+07 total rows
at 1m20s, row rate 53994.03/sec (period), row rate 224496.46/sec (overall), 1.796000E+07 total rows
at 1m30s, row rate 13001.14/sec (period), row rate 200999.13/sec (overall), 1.809000E+07 total rows
at 1m40s, row rate 43999.51/sec (period), row rate 185299.07/sec (overall), 1.853000E+07 total rows
at 1m50s, row rate 94999.21/sec (period), row rate 177089.97/sec (overall), 1.948000E+07 total rows
at 2m0s, row rate 124997.10/sec (period), row rate 172748.83/sec (overall), 2.073000E+07 total rows
at 2m10s, row rate 92004.14/sec (period), row rate 166537.99/sec (overall), 2.165000E+07 total rows
at 2m20s, row rate 11000.21/sec (period), row rate 155428.38/sec (overall), 2.176000E+07 total rows
at 2m30s, row rate 101989.41/sec (period), row rate 151865.44/sec (overall), 2.278000E+07 total rows
at 2m40s, row rate 124009.97/sec (period), row rate 150124.62/sec (overall), 2.402000E+07 total rows
at 2m50s, row rate 127004.06/sec (period), row rate 148764.63/sec (overall), 2.529000E+07 total rows
at 3m0s, row rate 7999.89/sec (period), row rate 140944.27/sec (overall), 2.537000E+07 total rows
at 3m10s, row rate 161003.10/sec (period), row rate 141999.98/sec (overall), 2.698000E+07 total rows
at 3m20s, row rate 353996.14/sec (period), row rate 152599.89/sec (overall), 3.052000E+07 total rows
at 3m30s, row rate 350975.09/sec (period), row rate 162046.96/sec (overall), 3.403000E+07 total rows
at 3m40s, row rate 350024.19/sec (period), row rate 170590.79/sec (overall), 3.753000E+07 total rows
at 3m50s, row rate 332989.19/sec (period), row rate 177651.80/sec (overall), 4.086000E+07 total rows
at 4m0s, row rate 327014.86/sec (period), row rate 183874.98/sec (overall), 4.413000E+07 total rows
at 4m10s, row rate 347991.13/sec (period), row rate 190439.78/sec (overall), 4.761000E+07 total rows
at 4m20s, row rate 352990.78/sec (period), row rate 196691.90/sec (overall), 5.114000E+07 total rows
at 4m30s, row rate 344004.26/sec (period), row rate 202147.83/sec (overall), 5.458000E+07 total rows
at 4m40s, row rate 203989.46/sec (period), row rate 202213.61/sec (overall), 5.662000E+07 total rows
at 4m50s, row rate 104008.29/sec (period), row rate 198827.49/sec (overall), 5.766000E+07 total rows
at 5m0s, row rate 47996.47/sec (period), row rate 193799.43/sec (overall), 5.814000E+07 total rows
at 5m10s, row rate 12000.33/sec (period), row rate 187935.12/sec (overall), 5.826000E+07 total rows
at 5m20s, row rate 122000.71/sec (period), row rate 185874.69/sec (overall), 5.948000E+07 total rows
at 5m30s, row rate 86002.81/sec (period), row rate 182848.37/sec (overall), 6.034000E+07 total rows
at 5m40s, row rate 13995.01/sec (period), row rate 177880.37/sec (overall), 6.048000E+07 total rows
at 5m50s, row rate 14003.70/sec (period), row rate 173199.44/sec (overall), 6.062000E+07 total rows
at 6m0s, row rate 11001.03/sec (period), row rate 168694.35/sec (overall), 6.073000E+07 total rows
at 6m10s, row rate 54996.61/sec (period), row rate 165621.26/sec (overall), 6.128000E+07 total rows
at 6m20s, row rate 96998.99/sec (period), row rate 163815.39/sec (overall), 6.225000E+07 total rows
at 6m30s, row rate 16001.04/sec (period), row rate 160025.53/sec (overall), 6.241000E+07 total rows
at 6m40s, row rate 11999.94/sec (period), row rate 156324.87/sec (overall), 6.253000E+07 total rows
at 6m50s, row rate 206996.96/sec (period), row rate 157560.80/sec (overall), 6.460000E+07 total rows
at 7m0s, row rate 334003.49/sec (period), row rate 161761.76/sec (overall), 6.794000E+07 total rows
at 7m10s, row rate 332000.26/sec (period), row rate 165720.79/sec (overall), 7.126000E+07 total rows
at 7m20s, row rate 333010.68/sec (period), row rate 169522.71/sec (overall), 7.459000E+07 total rows
at 7m30s, row rate 329992.79/sec (period), row rate 173088.79/sec (overall), 7.789000E+07 total rows
