at 10s, row rate 215999.62/sec (period), row rate 215999.62/sec (overall), 2.160000E+06 total rows
at 20s, row rate 149987.90/sec (period), row rate 182992.46/sec (overall), 3.660000E+06 total rows
at 30s, row rate 288993.14/sec (period), row rate 218325.61/sec (overall), 6.550000E+06 total rows
at 40s, row rate 617059.35/sec (period), row rate 317999.21/sec (overall), 1.272000E+07 total rows
at 50s, row rate 614978.16/sec (period), row rate 377396.57/sec (overall), 1.887000E+07 total rows
at 1m0s, row rate 624998.70/sec (period), row rate 418663.35/sec (overall), 2.512000E+07 total rows
at 1m10s, row rate 618015.73/sec (period), row rate 447141.44/sec (overall), 3.130000E+07 total rows
at 1m20s, row rate 612968.47/sec (period), row rate 467870.70/sec (overall), 3.743000E+07 total rows
at 1m30s, row rate 367015.52/sec (period), row rate 456665.08/sec (overall), 4.110000E+07 total rows
at 1m40s, row rate 214987.49/sec (period), row rate 432496.13/sec (overall), 4.325000E+07 total rows
at 1m50s, row rate 11000.84/sec (period), row rate 394181.36/sec (overall), 4.336000E+07 total rows
at 2m0s, row rate 9999.60/sec (period), row rate 362165.08/sec (overall), 4.346000E+07 total rows
at 2m10s, row rate 440999.60/sec (period), row rate 368229.26/sec (overall), 4.787000E+07 total rows
at 2m20s, row rate 624032.38/sec (period), row rate 386499.96/sec (overall), 5.411000E+07 total rows
at 2m30s, row rate 607966.56/sec (period), row rate 401265.16/sec (overall), 6.019000E+07 total rows
at 2m40s, row rate 618994.35/sec (period), row rate 414873.30/sec (overall), 6.638000E+07 total rows
at 2m50s, row rate 471001.07/sec (period), row rate 418174.91/sec (overall), 7.109000E+07 total rows
at 3m0s, row rate 141007.16/sec (period), row rate 402777.50/sec (overall), 7.250000E+07 total rows
at 3m10s, row rate 14999.62/sec (period), row rate 382367.66/sec (overall), 7.265000E+07 total rows
at 3m20s, row rate 8000.29/sec (period), row rate 363649.97/sec (overall), 7.273000E+07 total rows
at 3m30s, row rate 374998.39/sec (period), row rate 364190.37/sec (overall), 7.648000E+07 total rows
at 3m40s, row rate 614946.86/sec (period), row rate 375589.33/sec (overall), 8.263000E+07 total rows
at 3m50s, row rate 627057.23/sec (period), row rate 386521.72/sec (overall), 8.890000E+07 total rows
at 4m0s, row rate 163998.31/sec (period), row rate 377249.82/sec (overall), 9.054000E+07 total rows
at 4m10s, row rate 11999.63/sec (period), row rate 362639.38/sec (overall), 9.066000E+07 total rows
at 4m20s, row rate 9000.18/sec (period), row rate 349038.16/sec (overall), 9.075000E+07 total rows
at 4m30s, row rate 147998.91/sec (period), row rate 341592.22/sec (overall), 9.223000E+07 total rows
at 4m40s, row rate 262979.24/sec (period), row rate 338784.40/sec (overall), 9.486000E+07 total rows
at 4m50s, row rate 245009.95/sec (period), row rate 335550.94/sec (overall), 9.731000E+07 total rows
at 5m0s, row rate 187007.37/sec (period), row rate 330599.69/sec (overall), 9.918000E+07 total rows
at 5m10s, row rate 3997.75/sec (period), row rate 320058.40/sec (overall), 9.922000E+07 total rows
at 5m20s, row rate 405209.56/sec (period), row rate 322717.99/sec (overall), 1.032700E+08 total rows
at 5m30s, row rate 418995.84/sec (period), row rate 325635.53/sec (overall), 1.074600E+08 total rows
at 5m40s, row rate 231017.02/sec (period), row rate 322852.83/sec (overall), 1.097700E+08 total rows
at 5m50s, row rate 252001.72/sec (period), row rate 320828.53/sec (overall), 1.122900E+08 total rows
at 6m0s, row rate 112997.43/sec (period), row rate 315055.32/sec (overall), 1.134200E+08 total rows
at 6m10s, row rate 8999.85/sec (period), row rate 306783.42/sec (overall), 1.135100E+08 total rows
at 6m20s, row rate 565983.35/sec (period), row rate 313604.66/sec (overall), 1.191700E+08 total rows
at 6m30s, row rate 616018.38/sec (period), row rate 321358.62/sec (overall), 1.253300E+08 total rows
at 6m40s, row rate 492998.02/sec (period), row rate 325649.61/sec (overall), 1.302600E+08 total rows
at 6m50s, row rate 78997.10/sec (period), row rate 319633.49/sec (overall), 1.310500E+08 total rows
at 7m0s, row rate 18000.69/sec (period), row rate 312452.04/sec (overall), 1.312300E+08 total rows
at 7m10s, row rate 7999.39/sec (period), row rate 305371.23/sec (overall), 1.313100E+08 total rows
at 7m20s, row rate 413044.86/sec (period), row rate 307818.09/sec (overall), 1.354400E+08 total rows
at 7m30s, row rate 621967.49/sec (period), row rate 314799.54/sec (overall), 1.416600E+08 total rows
at 7m40s, row rate 627030.44/sec (period), row rate 321586.84/sec (overall), 1.479300E+08 total rows
at 7m50s, row rate 614998.25/sec (period), row rate 327829.65/sec (overall), 1.540800E+08 total rows
at 8m0s, row rate 608992.92/sec (period), row rate 333687.28/sec (overall), 1.601700E+08 total rows
at 8m10s, row rate 357972.55/sec (period), row rate 334182.94/sec (overall), 1.637500E+08 total rows
at 8m20s, row rate 247026.04/sec (period), row rate 332439.98/sec (overall), 1.662200E+08 total rows
at 8m30s, row rate 88992.34/sec (period), row rate 327666.10/sec (overall), 1.671100E+08 total rows
at 8m40s, row rate 4000.15/sec (period), row rate 321441.99/sec (overall), 1.671500E+08 total rows
at 8m50s, row rate 312998.46/sec (period), row rate 321282.68/sec (overall), 1.702800E+08 total rows
at 9m0s, row rate 616014.40/sec (period), row rate 326740.54/sec (overall), 1.764400E+08 total rows
at 9m10s, row rate 623013.61/sec (period), row rate 332127.21/sec (overall), 1.826700E+08 total rows
at 9m20s, row rate 244996.16/sec (period), row rate 330571.27/sec (overall), 1.851200E+08 total rows
at 9m30s, row rate 11999.70/sec (period), row rate 324982.16/sec (overall), 1.852400E+08 total rows
at 9m40s, row rate 573980.00/sec (period), row rate 329275.37/sec (overall), 1.909800E+08 total rows
at 9m50s, row rate 640995.87/sec (period), row rate 334558.80/sec (overall), 1.973900E+08 total rows
at 10m0s, row rate 666039.68/sec (period), row rate 340083.15/sec (overall), 2.040500E+08 total rows
at 10m10s, row rate 404001.12/sec (period), row rate 341130.98/sec (overall), 2.080900E+08 total rows
at 10m20s, row rate 137001.15/sec (period), row rate 337838.59/sec (overall), 2.094600E+08 total rows
at 10m30s, row rate 13999.51/sec (period), row rate 332698.11/sec (overall), 2.096000E+08 total rows
at 10m40s, row rate 10000.48/sec (period), row rate 327656.21/sec (overall), 2.097000E+08 total rows
at 10m50s, row rate 509993.54/sec (period), row rate 330461.43/sec (overall), 2.148000E+08 total rows
at 11m0s, row rate 663977.44/sec (period), row rate 335514.87/sec (overall), 2.214400E+08 total rows
at 11m10s, row rate 549020.65/sec (period), row rate 338701.40/sec (overall), 2.269300E+08 total rows
at 11m20s, row rate 325985.36/sec (period), row rate 338514.40/sec (overall), 2.301900E+08 total rows
at 11m30s, row rate 475006.55/sec (period), row rate 340492.51/sec (overall), 2.349400E+08 total rows
at 11m40s, row rate 412996.71/sec (period), row rate 341528.30/sec (overall), 2.390700E+08 total rows
at 11m50s, row rate 55997.46/sec (period), row rate 337506.56/sec (overall), 2.396300E+08 total rows
at 12m0s, row rate 294015.78/sec (period), row rate 336902.55/sec (overall), 2.425700E+08 total rows
at 12m10s, row rate 295993.11/sec (period), row rate 336342.14/sec (overall), 2.455300E+08 total rows
at 12m20s, row rate 9999.90/sec (period), row rate 331932.07/sec (overall), 2.456300E+08 total rows
at 12m30s, row rate 241018.73/sec (period), row rate 330719.98/sec (overall), 2.480400E+08 total rows
at 12m40s, row rate 661969.50/sec (period), row rate 335078.73/sec (overall), 2.546600E+08 total rows
at 12m50s, row rate 646013.06/sec (period), row rate 339116.75/sec (overall), 2.611200E+08 total rows
at 13m0s, row rate 120001.77/sec (period), row rate 336307.63/sec (overall), 2.623200E+08 total rows
at 13m10s, row rate 15999.90/sec (period), row rate 332253.07/sec (overall), 2.624800E+08 total rows
at 13m20s, row rate 9999.94/sec (period), row rate 328224.89/sec (overall), 2.625800E+08 total rows
at 13m30s, row rate 241001.39/sec (period), row rate 327148.06/sec (overall), 2.649900E+08 total rows
at 13m40s, row rate 65996.12/sec (period), row rate 323963.10/sec (overall), 2.656500E+08 total rows
at 13m50s, row rate 14000.35/sec (period), row rate 320228.70/sec (overall), 2.657900E+08 total rows
at 14m0s, row rate 9999.56/sec (period), row rate 316535.34/sec (overall), 2.658900E+08 total rows
COPY 266827680, took 14m5.628250713s with 2 worker(s) (mean rate 315537.802545/sec)
